"season","periods__names__001","periods__names__002","periods__scores__001","periods__scores__002"
"2013","Team Widenher","DALLAS IS GOING DOWN!!","83.9","118.2"
"","Pistolvania Rattlers","Call My Johnson A Peter, son!","116.0","114.7"
"","Brown Town Clowns","The Red Rockets","82.4","101.7"
"","Wide Right","This Sexay Laday","96.0","90.0"
"","Flexor Digiti Minion-Me","AT Still Your Girl","127.1","101.3"
"","Team Scoregasm","Meadville Militia","90.6","107.4"
"","DALLAS IS GOING DOWN!!","Flexor Digiti Minion-Me","93.6","71.8"
"","Brown Town Clowns","Pistolvania Rattlers","125.3","124.6"
"","Call My Johnson A Peter, son!","Team Widenher","85.6","78.0"
"","The Red Rockets","Wide Right","89.8","116.0"
"","This Sexay Laday","Team Scoregasm","112.7","95.6"
"","AT Still Your Girl","Meadville Militia","57.6","89.1"
"","Meadville Militia","DALLAS IS GOING DOWN!!","98.7","109.9"
"","Pistolvania Rattlers","Team Widenher","102.4","118.8"
"","Wide Right","Brown Town Clowns","82.7","69.3"
"","Flexor Digiti Minion-Me","Call My Johnson A Peter, son!","60.1","91.1"
"","Team Scoregasm","The Red Rockets","91.2","75.3"
"","AT Still Your Girl","This Sexay Laday","76.9","85.1"
"","DALLAS IS GOING DOWN!!","This Sexay Laday","116.0","85.2"
"","Wide Right","Pistolvania Rattlers","104.9","108.7"
"","Team Widenher","Flexor Digiti Minion-Me","78.2","136.1"
"","Brown Town Clowns","Team Scoregasm","117.7","99.1"
"","Call My Johnson A Peter, son!","Meadville Militia","98.0","104.8"
"","The Red Rockets","AT Still Your Girl","99.3","75.4"
"","DALLAS IS GOING DOWN!!","The Red Rockets","82.0","112.8"
"","Pistolvania Rattlers","Flexor Digiti Minion-Me","83.6","59.6"
"","Team Scoregasm","Wide Right","99.9","87.1"
"","Meadville Militia","Team Widenher","98.4","70.4"
"","AT Still Your Girl","Brown Town Clowns","57.2","142.2"
"","This Sexay Laday","Call My Johnson A Peter, son!","77.5","102.3"
"","Brown Town Clowns","DALLAS IS GOING DOWN!!","103.2","104.1"
"","Team Scoregasm","Pistolvania Rattlers","107.0","63.3"
"","Flexor Digiti Minion-Me","Meadville Militia","80.8","71.4"
"","Wide Right","AT Still Your Girl","75.7","53.9"
"","Team Widenher","This Sexay Laday","50.8","97.1"
"","Call My Johnson A Peter, son!","The Red Rockets","93.8","91.7"
"","DALLAS IS GOING DOWN!!","Wide Right","106.4","59.4"
"","Pistolvania Rattlers","Meadville Militia","76.7","99.2"
"","AT Still Your Girl","Team Scoregasm","57.6","109.6"
"","This Sexay Laday","Flexor Digiti Minion-Me","83.5","74.0"
"","The Red Rockets","Team Widenher","100.1","87.4"
"","Call My Johnson A Peter, son!","Brown Town Clowns","72.6","102.6"
"","Team Scoregasm","DALLAS IS GOING DOWN!!","90.5","92.5"
"","AT Still Your Girl","Pistolvania Rattlers","81.2","69.5"
"","Meadville Militia","This Sexay Laday","90.6","82.8"
"","Flexor Digiti Minion-Me","The Red Rockets","102.7","68.8"
"","Wide Right","Call My Johnson A Peter, son!","84.3","53.0"
"","Team Widenher","Brown Town Clowns","122.3","94.3"
"","DALLAS IS GOING DOWN!!","AT Still Your Girl","81.6","81.8"
"","Pistolvania Rattlers","This Sexay Laday","150.2","52.2"
"","The Red Rockets","Meadville Militia","59.9","91.5"
"","Call My Johnson A Peter, son!","Team Scoregasm","135.7","106.9"
"","Brown Town Clowns","Flexor Digiti Minion-Me","132.5","67.7"
"","Team Widenher","Wide Right","124.4","72.8"
"","DALLAS IS GOING DOWN!!","Pistolvania Rattlers","104.3","65.1"
"","This Sexay Laday","The Red Rockets","70.0","80.7"
"","AT Still Your Girl","Call My Johnson A Peter, son!","51.9","114.6"
"","Meadville Militia","Brown Town Clowns","77.2","123.0"
"","Team Scoregasm","Team Widenher","106.9","73.5"
"","Flexor Digiti Minion-Me","Wide Right","81.9","81.6"
"","Call My Johnson A Peter, son!","DALLAS IS GOING DOWN!!","73.7","75.3"
"","Pistolvania Rattlers","The Red Rockets","104.4","78.8"
"","Brown Town Clowns","This Sexay Laday","128.8","92.8"
"","Team Widenher","AT Still Your Girl","102.4","100.5"
"","Wide Right","Meadville Militia","104.9","86.6"
"","Flexor Digiti Minion-Me","Team Scoregasm","61.3","98.2"
"","DALLAS IS GOING DOWN!!","Team Widenher","75.5","69.3"
"","Call My Johnson A Peter, son!","Pistolvania Rattlers","81.1","86.4"
"","The Red Rockets","Brown Town Clowns","61.3","105.7"
"","This Sexay Laday","Wide Right","107.0","56.0"
"","AT Still Your Girl","Flexor Digiti Minion-Me","69.2","76.3"
"","Meadville Militia","Team Scoregasm","106.4","74.2"
"","Flexor Digiti Minion-Me","DALLAS IS GOING DOWN!!","87.0","65.6"
"","Pistolvania Rattlers","Brown Town Clowns","135.1","134.9"
"","Team Widenher","Call My Johnson A Peter, son!","66.5","106.1"
"","Wide Right","The Red Rockets","83.8","58.2"
"","Team Scoregasm","This Sexay Laday","73.2","91.5"
"","Meadville Militia","AT Still Your Girl","77.2","123.3"
"2014","Team Widenher","German Army Helmets","103.7","82.0"
"","Black Juliet's","3 Dreaded Monster","92.8","151.0"
"","Brown Town Clowns","HBO Presents: The Waiver Wire","77.2","93.3"
"","Wide Right","Dirty Dick Dave","72.8","65.3"
"","DidITellYou? ILikeToDance","Dirty Sanchez","68.5","96.4"
"","Team Scoregasm","Meadville Militia","96.8","116.1"
"","German Army Helmets","DidITellYou? ILikeToDance","82.0","55.9"
"","Brown Town Clowns","Black Juliet's","81.2","87.4"
"","3 Dreaded Monster","Team Widenher","60.5","108.0"
"","HBO Presents: The Waiver Wire","Wide Right","86.7","74.9"
"","Dirty Dick Dave","Team Scoregasm","73.8","59.1"
"","Dirty Sanchez","Meadville Militia","108.1","128.2"
"","Meadville Militia","German Army Helmets","104.6","45.8"
"","Black Juliet's","Team Widenher","65.4","95.6"
"","Wide Right","Brown Town Clowns","86.6","76.4"
"","DidITellYou? ILikeToDance","3 Dreaded Monster","55.4","110.1"
"","Team Scoregasm","HBO Presents: The Waiver Wire","105.9","81.9"
"","Dirty Sanchez","Dirty Dick Dave","108.6","72.6"
"","German Army Helmets","Dirty Dick Dave","108.1","81.7"
"","Wide Right","Black Juliet's","88.7","92.7"
